OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
11-0000,Management Occupations,major,7616650,0.2,58.44,121560,0.1,23.68,34.08,50.11,72.93,#,49260,70880,104240,151700,#
13-0000,Business and Financial Operations Occupations,major,7721300,0.3,36.98,76910,0.2,18.33,24.53,32.86,44.65,59.44,38130,51020,68350,92870,123640
15-0000,Computer and Mathematical Occupations,major,4384300,0.5,44.01,91530,0.4,21.41,29.64,41.51,55.98,71.12,44530,61640,86340,116440,147920
17-0000,Architecture and Engineering Occupations,major,2556220,0.5,42.01,87370,0.3,21.33,28.72,38.55,51.81,66.98,44360,59750,80170,107760,139320
19-0000,"Life, Physical, and Social Science Occupations",major,1171910,0.7,36.62,76160,0.4,16.85,22.74,31.77,45.77,61.22,35050,47310,66070,95210,127340
21-0000,Community and Social Service Occupations,major,2171820,0.4,23.69,49280,0.3,12.75,16.3,21.62,29.04,37.86,26520,33910,44960,60390,78740
23-0000,Legal Occupations,major,1127900,0.4,52.25,108690,0.6,18.04,25.47,38.85,68.12,#,37510,52970,80810,141700,#
25-0000,"Education, Training, and Library Occupations",major,8779780,0.4,27.22,56620,0.5,10.99,15.65,23.89,33.91,46.67,22860,32550,49700,70530,97080
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1951170,0.5,28.74,59780,0.5,10.99,15.39,23.7,35.43,50.36,22850,32010,49290,73690,104740
29-0000,Healthcare Practitioners and Technical Occupations,major,8646730,0.3,39.42,82000,0.2,16.25,22.91,31.94,45.69,67.12,33800,47650,66440,95020,139620
31-0000,Healthcare Support Occupations,major,4117450,0.4,15.57,32380,0.2,10.21,11.77,14.3,18.04,23.05,21240,24470,29740,37520,47950
33-0000,Protective Service Occupations,major,3437410,0.4,23.36,48580,0.6,10.63,13.46,19.54,29.85,42.35,22110,28000,40640,62090,88090
35-0000,Food Preparation and Serving Related Occupations,major,13374620,0.1,12.3,25580,0.2,8.49,9.33,11.09,13.59,17.96,17660,19410,23070,28270,37360
37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4421980,0.3,14.43,30020,0.2,9.24,10.71,12.91,16.81,22.14,19220,22280,26840,34970,46040
39-0000,Personal Care and Service Occupations,major,5451330,0.4,13.51,28090,0.2,8.86,10.21,11.74,14.64,20.23,18430,21240,24420,30450,42080
41-0000,Sales and Related Occupations,major,14542290,0.2,20.09,41790,0.2,9.1,10.63,13.55,22.87,38.16,18920,22120,28180,47570,79370
43-0000,Office and Administrative Support Occupations,major,21828990,0.2,18.75,38990,0.1,10.65,13.11,17.19,22.75,29.48,22150,27280,35760,47320,61330
45-0000,"Farming, Fishing, and Forestry Occupations",major,480130,1.3,14.49,30140,0.5,10.41,11.05,12.2,16.08,22.27,21650,22980,25380,33460,46330
47-0000,Construction and Extraction Occupations,major,5962640,0.2,24.62,51220,0.2,13.16,16.55,22.12,30.17,40.3,27380,34420,46010,62760,83820
49-0000,"Installation, Maintenance, and Repair Occupations",major,5628880,0.3,23.54,48960,0.1,12.43,16.15,21.89,29.31,37.57,25860,33590,45540,60950,78140
51-0000,Production Occupations,major,9115530,0.3,18.84,39190,0.2,10.66,12.89,16.86,22.82,30.03,22180,26820,35070,47470,62460
53-0000,Transportation and Material Moving Occupations,major,10244260,0.3,18.41,38290,0.4,9.94,11.87,15.74,21.96,29.75,20670,24700,32730,45670,61870
